stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m)
48.95833,37.81368,-4.91746,-51.30887,-1.35256,-27.83435,11.20391,38.58095,-8.99574,-1.35253,-0.88802,1.93852,16.63143,-0.17259,-0.06399,0.03671,-0.01003,0.00244,0.11707,-0.11621,6e-05,-0.08122,37.16079,-7.30976,-50.69077,3.78914,-28.41985,21.88331,37.41781,-16.88144,0.11264,-0.82612,48.47616,40.44807,-2.40461,-0.1143,0.05838,-0.0083,-0.00264,0.11713,-0.12355,0.0036,0.01791,37.37235,-5.16882,-51.43646,-1.37955,-27.73304,11.93109,38.87972,-10.89199,-1.17419,-0.87215,7.33913,23.41051,0.90253,-0.05919,0.03936,-0.01014,0.00076,0.12173,-0.12675,0.00572,-0.09438
51.04167,38.11912,-4.17884,-51.62093,-0.20151,-28.25792,10.23998,38.00907,-12.15662,-1.34571,-0.79815,3.09905,21.70515,-0.59499,-0.05959,0.02754,-0.01044,0.00865,0.10761,-0.10104,0.00589,-0.06701,37.1394,-6.64455,-50.36011,4.98038,-28.81161,21.49042,36.82213,-18.70121,0.3683,-0.62032,53.24743,44.47412,-0.49471,-0.09892,0.05693,-0.00261,-0.00456,0.10785,-0.11827,0.0061,0.0169,37.64533,-4.38851,-51.77417,-0.18492,-28.11275,10.83927,38.33692,-14.44541,-1.15393,-0.75019,7.11825,29.90681,0.50184,-0.05287,0.02892,-0.00862,-0.00447,0.11039,-0.102,0.0095,-0.0767
53.125,38.46279,-3.48852,-51.77226,1.3452,-28.69182,9.31335,37.13183,-15.56271,-1.33909,-0.68976,3.96083,25.49282,-1.10115,-0.05702,0.02056,-0.0105,0.01449,0.09862,-0.08892,0.01023,-0.04489,37.16246,-5.89037,-49.86448,6.16317,-29.21131,20.98139,36.10093,-20.38625,0.61913,-0.38259,53.17406,50.48611,0.80892,-0.08117,0.05362,0.00082,-0.00497,0.10082,-0.11875,0.00832,0.01457,37.97512,-3.66209,-51.95213,1.43203,-28.51588,9.79039,37.47768,-18.16805,-1.14128,-0.6111,6.04575,33.76605,-0.28211,-0.05281,0.02068,-0.00784,-0.01036,0.10033,-0.08362,0.01085,-0.04987
55.20833,38.86993,-2.84573,-51.69822,3.23293,-29.14158,8.45458,35.99097,-19.00545,-1.33362,-0.56479,4.45956,28.30665,-1.50474,-0.05615,0.01629,-0.01052,0.0178,0.0909,-0.08172,0.01308,-0.01868,37.27725,-5.06123,-49.19702,7.30852,-29.65027,20.34247,35.26169,-21.89166,0.84307,-0.10636,48.51767,57.39776,1.5014,-0.06583,0.04941,0.00048,-0.00409,0.09599,-0.12462,0.00991,0.01128,38.39246,-2.99214,-51.9058,3.41563,-28.95531,8.85266,36.34128,-21.81899,-1.13724,-0.46093,4.43096,35.2442,-1.09425,-0.05699,0.01536,-0.00792,-0.01647,0.09226,-0.07535,0.01053,-0.01919
57.29167,39.34506,-2.2494,-51.33691,5.35917,-29.60648,7.67061,34.66796,-22.26956,-1.32781,-0.42356,4.81828,30.67272,-1.68664,-0.05603,0.01428,-0.01079,0.01704,0.08468,-0.07872,0.01461,0.00796,37.52535,-4.17374,-48.36712,8.39312,-30.13749,19.54621,34.33111,-23.1804,1.02532,0.20782,40.62986,63.97899,1.56816,-0.05594,0.04483,-0.00315,-0.00249,0.09233,-0.13314,0.00941,0.00758,38.89642,-2.3768,-51.57589,5.65984,-29.42871,8.04236,35.00994,-25.16736,-1.13873,-0.30248,3.01313,35.33821,-1.63761,-0.06185,0.01264,-0.00853,-0.02238,0.08591,-0.07584,0.0096,0.0106
59.375,39.87214,-1.69942,-50.6391,7.58558,-30.08041,6.94868,33.2652,-25.15481,-1.31761,-0.26467,5.44659,33.22054,-1.63348,-0.05553,0.01359,-0.01168,0.01196,0.07993,-0.07738,0.0152,0.03235,37.92824,-3.24549,-47.39953,9.40029,-30.66091,18.56256,33.35793,-24.22933,1.16108,0.55285,31.44023,69.25118,0.96071,-0.05197,0.04,-0.00805,-0.00094,0.08851,-0.1402,0.00476,0.00414,39.45808,-1.81218,-50.91549,8.0197,-29.92133,7.32896,33.58815,-28.01319,-1.13873,-0.13396,2.69319,35.52296,-1.78703,-0.06397,0.01156,-0.00937,-0.02756,0.0806,-0.07987,0.00917,0.03639
61.45833,40.42363,-1.19686,-49.5765,9.75605,-30.55486,6.26835,31.88203,-27.4937,-1.29726,-0.08526,6.7656,36.51182,-1.42789,-0.05391,0.01322,-0.01361,0.00377,0.0766,-0.07488,0.01527,0.05313,38.48093,-2.29461,-46.32671,10.31889,-31.19576,17.37882,32.40755,-25.03261,1.25468,0.91676,22.76549,72.62418,-0.36254,-0.05202,0.03475,-0.01175,-3e-05,0.08356,-0.14167,-0.0059,0.00166,40.03621,-1.29486,-49.89489,10.329,-30.41367,6.65943,32.17637,-30.20031,-1.12785,0.05075,4.17305,37.2615,-1.61865,-0.0616,0.0111,-0.0105,-0.03126,0.07589,-0.08126,0.01004,0.05696
63.54167,40.97355,-0.74294,-48.14805,11.71713,-31.02245,5.61453,30.59384,-29.16469,-1.26108,0.11803,9.01906,40.85196,-1.19741,-0.05122,0.01258,-0.01695,-0.00521,0.07481,-0.06959,0.01519,0.07012,39.15556,-1.34064,-45.17819,11.14036,-31.71573,16.01982,31.54954,-25.60034,1.31547,1.28462,15.68655,73.76608,-2.34902,-0.0528,0.02889,-0.01258,2e-05,0.07725,-0.13476,-0.02329,0.00071,40.5967,-0.8233,-48.50549,12.42105,-30.89025,5.98863,30.84874,-31.6238,-1.09709,0.2601,7.63554,41.45351,-1.34632,-0.05533,0.01063,-0.01247,-0.03251,0.07201,-0.07593,0.01241,0.07263
65.625,41.50868,-0.33727,-46.38411,13.33728,-31.47967,4.98495,29.44092,-30.1012,-1.20548,0.34758,12.13631,46.14471,-1.04668,-0.04825,0.01159,-0.02168,-0.01238,0.07474,-0.06189,0.01503,0.08377,39.91267,-0.40551,-43.97205,11.85542,-32.20205,14.55861,30.84226,-25.95253,1.35212,1.63962,10.21889,72.3383,-4.76552,-0.0511,0.02249,-0.01051,-0.00055,0.07005,-0.11894,-0.04643,0.00166,41.12736,-0.39727,-46.76414,14.14931,-31.34593,5.30114,29.6425,-32.23484,-1.04082,0.50138,12.58835,48.02826,-1.19693,-0.04771,0.01002,-0.01605,-0.03042,0.06974,-0.06389,0.01566,0.08434
67.70833,42.03331,0.02378,-44.34827,14.52176,-31.92795,4.38896,28.43019,-30.29657,-1.13066,0.60312,15.69508,51.84543,-1.00414,-0.04613,0.01056,-0.02724,-0.01584,0.0764,-0.05399,0.01441,0.09463,40.71531,0.48617,-42.71289,12.45173,-32.64728,13.11167,30.31961,-26.1102,1.36751,1.96341,5.39609,67.79799,-7.16715,-0.04508,0.01598,-0.00716,-0.00115,0.06283,-0.09594,-0.07261,0.00465,41.64214,-0.01601,-44.7182,15.40469,-31.78751,4.61555,28.5621,-32.04466,-0.95915,0.77687,17.93864,55.8495,-1.28305,-0.04205,0.00955,-0.02164,-0.02457,0.06993,-0.04919,0.01844,0.09291
